Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
经评估分析、税务约谈、实地核查，发现企业与境外关联企业间存在不按照独立企业交易原则进行交易往来，以及其他问题需要由专业部门进一步调查和处理的，由评估人员在《纳税评估报告》中应建议（   ）。|移送稽查|移送其他部门|提请纳税人自行改正|移送上级机关||2|||||征管评估P265经评估分析、税务约谈、实地核查，发现企业与境外关联企业间存在不按照独立企业交易原则进行交易往来，以及其他问题需要由专业部门进一步调查和处理的，由评估人员在《纳税评估报告》中提出“移送其他部门”处理建议；|征管评估P265经评估分析、税务约谈、实地核查，发现企业与境外关联企业间存在不按照独立企业交易原则进行交易往来，以及其他问题需要由专业部门进一步调查和处理的，由评估人员在《纳税评估报告》中提出“移送其他部门”处理建议；
纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，以及自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的，在纳税评估报告中应建议（    ）。|移送稽查|移送其他部门|提请纳税人自行改正|移送上级机关||1|||||征管评估P264属于下列情形之一的，由评估人员在《纳税评估报告》中提出“移送稽查”处理建议：①明显存在虚开或接受虚开发票现象的； ②纳税人拒绝评估人员纳税评估实地核查，或者以各种方式阻挠、刁难评估人员核查的；③纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，以及自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的；④纳税评估过程中发现纳税人涉嫌逃税、抗税、逃避追缴欠税、骗取出口退税行为之一的；⑤其它需移交稽查的情形。|征管评估P264属于下列情形之一的，由评估人员在《纳税评估报告》中提出“移送稽查”处理建议：①明显存在虚开或接受虚开发票现象的； ②纳税人拒绝评估人员纳税评估实地核查，或者以各种方式阻挠、刁难评估人员核查的；③纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，以及自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的；④纳税评估过程中发现纳税人涉嫌逃税、抗税、逃避追缴欠税、骗取出口退税行为之一的；⑤其它需移交稽查的情形。
《纳税评估报告》不包括以下主要内容（    ）|纳税评估对象的基本情况|评估确定的主要疑点和问题|评估基本情况|稽查建议||4|||||征管评估P264《纳税评估报告》应包括以下主要内容：（1）纳税评估对象的基本情况；（2）评估确定的主要疑点和问题；（3）评估基本情况；（4）认定结论；（5）评估详细情况；（6）处理建议；（7）征管建议。|征管评估P264《纳税评估报告》应包括以下主要内容：（1）纳税评估对象的基本情况；（2）评估确定的主要疑点和问题；（3）评估基本情况；（4）认定结论；（5）评估详细情况；（6）处理建议；（7）征管建议。
当纳税人拒绝接收文书时适用（    ）方式。|留置送达|直接送达|邮寄送达|委托送达||1|||||征管评估P266|征管评估P266
税务文书送达有5种方式，其中，最基本的送方式是（    ）。|留置送达|直接送达|邮寄送达|委托送达||2|||||征管评估P266|征管评估P266
采用公告送达税务文书的，自公告之日起满（    ），即视为送达。|10日|15日|20日|30日||4|||||征管评估P267|征管评估P267
公告送达税务文书适用于（    ）|当受送达人拒绝接收文书时适用|受送达人被监禁或被劳动教养|当送达对象人数众多或下落不明时适用|适用于各种情形||3|||||征管评估P267公告送达方式中的注意事项：在受送达对象数量众多、成分复杂、分布广泛的情况下，采用其他送达方式将很难实现，税务机关应采用公告送达方式，这样可以减少直接送达所带来的不便，节约大量的税收成本。|征管评估P267公告送达方式中的注意事项：在受送达对象数量众多、成分复杂、分布广泛的情况下，采用其他送达方式将很难实现，税务机关应采用公告送达方式，这样可以减少直接送达所带来的不便，节约大量的税收成本。
下列有关税务行政处罚的陈述，错误的是（    ）|确有应受行政处罚的违法行为的，根据情节轻重及具体情况，作出行政处罚决定，并制作《税务行政处罚决定书》|违法行为轻微，依法可以不予行政处罚的，不予行政处罚，并制作《不予行政处罚决定书》；|违法事实不能成立的，不得给予行政处罚，并制作《不予行政处罚决定书》|《税务行政处罚决定书》或者《不予行政处罚决定书》应当按征管法及实施细则的规定送达给当事人。||3|||||征管评估P271（5）作出处罚决定并送达 税务机关根据不同情况，应当分别作出以下决定：确有应受行政处罚的违法行为的，根据情节轻重及具体情况，作出行政处罚决定，并制作《税务行政处罚决定书》；违法行为轻微，依法可以不予行政处罚的，不予行政处罚，并制作《不予行政处罚决定书》；违法事实不能成立的，不得给予行政处罚；《税务行政处罚决定书》或者《不予行政处罚决定书》应当按征管法及实施细则的规定送达给当事人。|征管评估P271（5）作出处罚决定并送达 税务机关根据不同情况，应当分别作出以下决定：确有应受行政处罚的违法行为的，根据情节轻重及具体情况，作出行政处罚决定，并制作《税务行政处罚决定书》；违法行为轻微，依法可以不予行政处罚的，不予行政处罚，并制作《不予行政处罚决定书》；违法事实不能成立的，不得给予行政处罚；《税务行政处罚决定书》或者《不予行政处罚决定书》应当按征管法及实施细则的规定送达给当事人。
依据《税收征管法》第八十六条规定，对违反税收法律、行政法规应当给予行政处罚的行为，在（    ）年内未被发现的，不再给予行政处罚。|三年|五年|八年|十年||2|||||征管评估P269|征管评估P269
在纳税评估中，对法人和其他组织处以（    ）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。|2000元（含）|2000元（不含）|1000元（含）|1000元（不含）||3|||||征管评估P269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。|征管评估P269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。
在纳税评估中，对公民处以（    ）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。|100元（含）|100元（不含）|50元（含）|50元（不含）||3|||||征管评估P269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。|征管评估P269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。
对公民处以2000元（含）以上、对法人或其他组织处以１万元（含）以上罚款的税务行政处罚，还应告知纳税人及相关方有（    ）。|陈述权|申辩权|要求举行听证的权利|要求举证的权利||3|||||征管评估P269同时，对公民处以2000元（含）以上、对法人或其他组织处以1万元（含）以上罚款的税务行政处罚，还应告知纳税人及相关方有要求举行听证的权利。|征管评估P269同时，对公民处以2000元（含）以上、对法人或其他组织处以1万元（含）以上罚款的税务行政处罚，还应告知纳税人及相关方有要求举行听证的权利。
当事人要求陈述、申辩的，检查人员应当听取当事人的陈述申辩，当事人应在收到税务行政处罚告知事项之日起（    ）内向税务机关陈述、申辩，进行陈述、申辩可以采取口头形式或书面形式。|3日|5日|7日|10日||1|||||征管评估P270|征管评估P270
筹资活动产生的现金流量与企业所得税有较大的关系。筹资包括吸收投资和借款，以下不属于筹资活动审核分析内容的是（    ）|检查筹资费用的支付是否合理|利息的列支是否符合税法的规定|“分配股利、利润和偿付利息所支付的现金”项目的检查要结合有关明细账进行分析检查并要审阅相关的股东大会的文件、借款协议，更加可靠地确定费用列支的合理性|涉及增值税的是固定资产的购买和处置，对购买的固定资产检查其增值税是否列入了进项税额（税法规定的可以抵扣的情况除外）||4|||||征管评估P289筹资包括吸收投资和借款，要检查筹资费用的支付是否合理，利息的列支是否符合税法的规定。特别对“分配股利、利润和偿付利息所支付的现金”项目的检查要结合有关明细账进行分析检查并要审阅相关的股东大会的文件、借款协议，更加可靠地确定费用列支的合理性。|征管评估P289筹资包括吸收投资和借款，要检查筹资费用的支付是否合理，利息的列支是否符合税法的规定。特别对“分配股利、利润和偿付利息所支付的现金”项目的检查要结合有关明细账进行分析检查并要审阅相关的股东大会的文件、借款协议，更加可靠地确定费用列支的合理性。
税务机关在收到申请（    ）内，对听证申请作出裁决，不符合法律、法规规定的，不予受理。|5日|7日|10日|15日||4|||||征管评估P270|征管评估P270
税务机关在责令限期缴纳时，应当发出限期缴纳税款通知书，责令缴纳或者解缴税款的最长期限不得超过（     ）。|5日|10日|15日|20日||3|||||征管评估P273|征管评估P273
税收强制执行措施必须发生在（    ）之后，责令限期内有逃避履行纳税义务迹象的，税务机关应采取的是税收保全措施。|税收保全措施|责令限期缴纳期满|举行听证|纳税人、扣缴义务陈述申辩||2|||||征管评估P273|征管评估P273
追征实施中主张优先权工作目标是欠税追征人员对符合行使优先权的欠税纳税人，经审批同意后向（    ）提出申请，行使优先权。|上级机关|稽查部门|人民法院|公安部门||3|||||征管评估P274|征管评估P274
以下关于听证费的说法正确的是（    ）。|听证费用由组织听证的税务机关支付|听证费用由申请举行听证的纳税人支付|听证费用由参加听证的税务机关支付|听证费用无需支付||1|||||征管评估P271听证费用由组织听证的税务机关支付。|征管评估P271听证费用由组织听证的税务机关支付。
行政机关作出行政处罚（一般）决定之前，应当告知当事人有要求举行听证的权利；当事人要求听证的，行政机关应当组织听证。但以下哪项表述不准确（    ）。|责令停产停业|吊销许可证|吊销执照|罚款||4|||||征管评估P270根据《中华人民共和国行政处罚法》的规定，行政机关作出责令停产停业、吊销许可证或者执照、较大数额罚款等行政处罚决定之前，应当告知当事人有要求举行听证的权利；当事人要求听证的，行政机关应当组织听证。|征管评估P270根据《中华人民共和国行政处罚法》的规定，行政机关作出责令停产停业、吊销许可证或者执照、较大数额罚款等行政处罚决定之前，应当告知当事人有要求举行听证的权利；当事人要求听证的，行政机关应当组织听证。
下列税收代位权行使要件不正确的是（    ）|纳税人欠缴税款|纳税人怠于行使到期债权|纳税人怠于行使权利的行为已经对国家税收造成损害|客体是一般财产为给付内容的债权||4|||||征管p275根据《最高人民法院关于适用（中华人民共和国合同法）若干问题的解释（一）》（以下简称《解释》）第十三条的规定，债权人可就债务人享有的具有金钱给付内容的到期债权行使代位权。这一规定实际上将以一般财产为给付内容的债权排除在代位权客体之外。|征管p275根据《最高人民法院关于适用（中华人民共和国合同法）若干问题的解释（一）》（以下简称《解释》）第十三条的规定，债权人可就债务人享有的具有金钱给付内容的到期债权行使代位权。这一规定实际上将以一般财产为给付内容的债权排除在代位权客体之外。
听证会由税务机关负责人指定的非本案调查机构的人员主持，当事人、本案调查人员及其他有关人员参加。当事人认为听证主持人与本案有直接利害关系的，有权申请回避。回避申请，应当在举行听证的（    ）前向税务机关提出，并说明理由。|1日|3日|5日|7日||2|||||征管p270听证会由税务机关负责人指定的非本案调查机构的人员主持，当事人、本案调查人员及其他有关人员参加。当事人认为听证主持人与本案有直接利害关系的，有权申请回避。回避申请，应当在举行听证的3日前向税务机关提出，并说明理由。|征管p270听证会由税务机关负责人指定的非本案调查机构的人员主持，当事人、本案调查人员及其他有关人员参加。当事人认为听证主持人与本案有直接利害关系的，有权申请回避。回避申请，应当在举行听证的3日前向税务机关提出，并说明理由。
以下有关评估处理意见，说法错误的是（    ）。|疑点全部被排除，又未发现新的疑点，由评估人员在《纳税评估报告》中提出“暂未发现违法行为疑点排除”处理建议|纳税评估中发现的计算和填写错误、政策和程序理解偏差等一般性问题；或存在的疑点问题经约谈、举证、调查核实等程序认定事实清楚，不具有偷税等违法嫌疑，无需立案查处的；纳税人对该疑点或问题认识清楚，与评估人员对处理办法达成一致的，可由纳税人自行改正，补正申报、补缴税款、调整账目。|纳税人自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的，由评估人员在《纳税评估报告》中提出“移送稽查”处理建议|纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，由评估人员在《纳税评估报告》中提出“移送其他部门”处理建议||4|||||征管p264纳税评估处理建议按以下原则提出：（1）疑点全部被排除，又未发现新的疑点，由评估人员在《纳税评估报告》中提出“暂未发现违法行为疑点排除”处理建议；（2）纳税评估中发现的计算和填写错误、政策和程序理解偏差等一般性问题；或存在的疑点问题经约谈、举证、调查核实等程序认定事实清楚，不具有偷税等违法嫌疑，无需立案查处的；纳税人对该疑点或问题认识清楚，与评估人员对处理办法达成一致的，可由纳税人自行改正，补正申报、补缴税款、调整账目。由评估人员在《纳税评估报告》中提出“提请纳税人自行改正”处理建议；（3）属于下列情形之一的，由评估人员在《纳税评估报告》中提出“移送稽查”处理建议：①明显存在虚开或接受虚开发票现象的； ②纳税人拒绝评估人员纳税评估实地核查，或者以各种方式阻挠、刁难评估人员核查的；③纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，以及自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的；④纳税评估过程中发现纳税人涉嫌逃税、抗税、逃避追缴欠税、骗取出口退税行为之一的；⑤其它需移交稽查的情形。（4）经评估分析、税务约谈、实地核查，发现企业与境外关联企业间存在不按照独立企业交易原则进行交易往来，以及其他问题需要由专业部门进一步调查和处理的，由评估人员在《纳税评估报告》中提出“移送其他部门”处理建议； （5）其他情形，由评估人员在《纳税评估报告》中提出“其他”处理建议。|征管p264纳税评估处理建议按以下原则提出：（1）疑点全部被排除，又未发现新的疑点，由评估人员在《纳税评估报告》中提出“暂未发现违法行为疑点排除”处理建议；（2）纳税评估中发现的计算和填写错误、政策和程序理解偏差等一般性问题；或存在的疑点问题经约谈、举证、调查核实等程序认定事实清楚，不具有偷税等违法嫌疑，无需立案查处的；纳税人对该疑点或问题认识清楚，与评估人员对处理办法达成一致的，可由纳税人自行改正，补正申报、补缴税款、调整账目。由评估人员在《纳税评估报告》中提出“提请纳税人自行改正”处理建议；（3）属于下列情形之一的，由评估人员在《纳税评估报告》中提出“移送稽查”处理建议：①明显存在虚开或接受虚开发票现象的； ②纳税人拒绝评估人员纳税评估实地核查，或者以各种方式阻挠、刁难评估人员核查的；③纳税人主动选择以自查申报代替约谈说明后，未能在规定期限内自查补税且未向税务机关说明正当理由的，以及自查补税结果与税务机关的评估结果差距较大且不能说明正当理由的；④纳税评估过程中发现纳税人涉嫌逃税、抗税、逃避追缴欠税、骗取出口退税行为之一的；⑤其它需移交稽查的情形。（4）经评估分析、税务约谈、实地核查，发现企业与境外关联企业间存在不按照独立企业交易原则进行交易往来，以及其他问题需要由专业部门进一步调查和处理的，由评估人员在《纳税评估报告》中提出“移送其他部门”处理建议； （5）其他情形，由评估人员在《纳税评估报告》中提出“其他”处理建议。
（    ）是税务机关是否已送达税务文书的一个证明，只有正确、完整、合法、真实地签写，才能确保执法的程序不违法。|《税务文书送达回执》|《税务文书送达回证》|《税务文书送达证明》|《税务文书送达确认书》||2|||||征管p267《税务文书送达回证》是税务机关是否已送达税务文书的一个证明，只有正确、完整、合法、真实地签写送达回证，才能确保执法的程序不违法。|征管p267《税务文书送达回证》是税务机关是否已送达税务文书的一个证明，只有正确、完整、合法、真实地签写送达回证，才能确保执法的程序不违法。
以下有关所有者权益的分析审核，错误的是（    ）。|重点关注留存收益，有的企业为了规避个人所得税，将分配出去的税后利润以“其他应收款”入账，或者不作账务处理，仍然留在“现金”或“银行存款”账上|如果资产类的“固定资产”和“无形资产”大量增加，同时权益类的“实收资本”“资本公积”也大量增加，说明企业很可能发生了增资扩股或者资产评估业务|如果一项权益（“实收资本”）期末数增，另几项权益（“资本公积”“未分配利润”）期末数减少，说明企业很可能发生了用“资本公积”“未分配利润”转增股本的业务|如果一项所有者权益（“资本公积”）增加，另一项资产（“应收账款”“其他应收款”）增加，很可能是企业发生了无法偿还的负债，应计入企业所得税应纳税所得额||4|||||征管p285所有者权益的分析。重点关注留存收益，有的企业为了规避个人所得税，将分配出去的税后利润以“其他应收款”入账，或者不作账务处理，仍然留在“现金”或“银行存款”账上。如果资产类的“固定资产”和“无形资产”大量增加，同时权益类的“实收资本”“资本公积”也大量增加，说明企业很可能发生了增资扩股或者资产评估业务；如果一项权益（“实收资本”）期末数增，另几项权益（“资本公积”“未分配利润”）期末数减少，说明企业很可能发生了用“资本公积”“未分配利润”转增股本的业务。如果一项所有者权益（“资本公积”）增加，另一项负债（“应付账款”“其他应付款”）减少，很可能是企业发生了无法偿还的负债，应计入企业所得税应纳税所得额。|征管p285所有者权益的分析。重点关注留存收益，有的企业为了规避个人所得税，将分配出去的税后利润以“其他应收款”入账，或者不作账务处理，仍然留在“现金”或“银行存款”账上。如果资产类的“固定资产”和“无形资产”大量增加，同时权益类的“实收资本”“资本公积”也大量增加，说明企业很可能发生了增资扩股或者资产评估业务；如果一项权益（“实收资本”）期末数增，另几项权益（“资本公积”“未分配利润”）期末数减少，说明企业很可能发生了用“资本公积”“未分配利润”转增股本的业务。如果一项所有者权益（“资本公积”）增加，另一项负债（“应付账款”“其他应付款”）减少，很可能是企业发生了无法偿还的负债，应计入企业所得税应纳税所得额。
违法违章处理报告审议应以集体会议审议形式开展，审议情况及结论应制作审议记录，参加人员应签字确认。审议内容不包括以下哪项（     ）。|违法、违章主体是否正确|违法、违章调查程序是否合法、事实认定是否清楚|法律适用是否正确、证据资料是否齐全|提出的违法、违章处理建议是否合法、合理||1|||||征管p268审议的内容（1）违法、违章调查程序是否合法；（2）违法、违章事实认定是否清楚；（3）证据资料是否齐全；（4）法律适用是否正确；（5）提出的违法、违章处理建议是否合法、合理。|征管p268审议的内容（1）违法、违章调查程序是否合法；（2）违法、违章事实认定是否清楚；（3）证据资料是否齐全；（4）法律适用是否正确；（5）提出的违法、违章处理建议是否合法、合理。
在纳税评估中，违法事实确凿并有法定依据，可以当场作出行政处罚的情形不包括以下哪种（    ）。|公民处以50元（含）以下的罚款|对法人和其他组织处以1000元（含）以下罚款|警告|吊销执照||4|||||征管p269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。|征管p269在纳税评估中，违法事实确凿并有法定依据，对公民处以50元（含）以下、对法人和其他组织处以1000元（含）以下罚款或者警告的行政处罚的，可以当场作出行政处罚决定。
以下利润表内部项目的主要逻辑关系，表述正确的是（    ）|营业利润＝营业收入－营业成本－营业税金及附加－销售费用－管理费用－财务费用－资产减值损失＋公允价值变动收益（或减损失）＋投资收益（或减损失）|营业利润＝营业收入－营业成本－营业税金及附加|营业利润＝营业收入－营业成本－营业税金及附加－销售费用－管理费用－财务费用|营业利润＝营业收入－营业成本－营业税金及附加－销售费用－管理费用－财务费用－资产减值损失||1|||||征管p285|征管p285
来源于境内、境外的劳务所得，按照(    )原则确定。|按照提供劳务的单位注册地|按照提供劳务的单位派出人员经常居住地|按照劳务发生地|向境外企业支付的劳务费，如果劳务发生地既有境内，也有境外，应视同在全部劳务在境内发生||3|||||通用p99提供劳务所得，按照劳务发生地确定|通用p99提供劳务所得，按照劳务发生地确定
下列各项中，以“整备质量每吨”作为车船税计税单位的是（    ）。|中型客车|摩托车|挂车|拖船||3|||||通用p120货车、挂车、其他车辆，以“整备质量每吨”为计税单位|通用p120货车、挂车、其他车辆，以“整备质量每吨”为计税单位
个人因任职、受雇从上市公司取得的股票增值权所得和限制性股票所得，属于（   ）。|工资薪金所得|财产转让所得|股息红利所得|劳务报酬所得||1||||||
对一份凭证应纳税额超过（    ）元的纳税人可向主管税务机关申请，用填开完税凭证或者缴款书的办法纳税，不再贴花。|1000|5000|100|500||4|||||通用p129一份凭证应纳税额超过500元的，纳税人可以采取将税收缴款书、完税证明其中一联粘贴在凭证上或者由地方税务机关在凭证上加注完税标记代替贴花。|通用p129一份凭证应纳税额超过500元的，纳税人可以采取将税收缴款书、完税证明其中一联粘贴在凭证上或者由地方税务机关在凭证上加注完税标记代替贴花。
根据车辆购置税的现行规定，下列各项中，不属于车辆购置税税款缴纳方法的是（    ）。|自报核缴|集中征收缴纳|核定征收|代征、代扣、代收||3||||||
根据消费税的有关规定，对连续生产出来的应税消费品计征消费税时，符合抵扣条件的，应按（   ）计算准予扣除外购的应税消费品已纳消费税税款。|当期生产领用量|当期购进数量|当期连续生产出来的应税消费品的生产数量|当期连续生产出来的应税消费品的销售数量||1||||||
下列房地产转让行为中，应征收土地增值税的是（    ）。|个人之间互换自有居住房屋|无偿赠与房屋给直系亲属|被兼并企业将房屋并入兼并企业中|合作建房有偿转让的||4||||||
8 、纳税人自行新建房屋用于生产经营，从（    ）起，缴纳房产税。|建成之月|建成之次月|生产经营之月|生产经营之次月||2|||||通用p116纳税人自行新建房屋用于生产经营，从建成之次月起缴纳房产税。|通用p116纳税人自行新建房屋用于生产经营，从建成之次月起缴纳房产税。
按规定，房屋大修停用（    ）以上的，经纳税人申请，税务机关审核，在大修期间可免征房产税。|三个月|半年|一年|两年||2||||||
下列费用中，可以在个人所得税税前扣除的有（    ）|分配给投资者的股利|个体工商户业主工资|营业外支出|赞助支出||3||||||
对商品房销售合同，适用（    ）征收印花税。|产权转移书据|购销合同|房地产开发公司销售房屋按购销合同，二手房转让按产权转移书据|房地产开发公司销售房屋按产权转移书据，二手房转让按购销合同||1||||||
纳税人所在地为建制镇的，城市维护建设税的税率为（    ）|1%|3%|5%|7%||3|||||通用p125纳税人所在地为县城、镇的，税率为5%|通用p125纳税人所在地为县城、镇的，税率为5%
股权成功转让后，转让方个人因受让方个人未按规定期限支付价款而取得的违约金收入，应按照（    ）项目征收个人所得税。|财产转让所得 |偶然所得 |其他所得 |利息、股息、红利所得||1||||||
下列对关联关系的判断，错误的是（    ）。|A公司直接持有B公司25％的股份，A公司和B公司具有关联关系|A公司持有B公司50％的股份，B公司持有C公司40％的股份，则A公司和C公司不具有关联关系|A公司实收资本300万元，A公司从B公司（非金融企业）借入200万元款项从事生产经营，则A公司和B公司具有关联关系|A公司对B公司的生产经营和交易具有实质控制，则A公司和B公司具有关联关系||2||||||
下列按规定应缴纳契税的纳税人是（   ）。|出让土地使用权的国土资源和房屋局|销售别墅的房地产企业|承受房地产用于教学的民办高校（经批准有办学证）|购买普通住房的居民个人||4|||||通用p122|通用p122
对房地产开发企业进行土地增值税清算时，下列表述正确的是（    ）。|房地产开发企业的预提费用，准予扣除|符合清算条件应进行土地增值税清算的项目，纳税人应当在满足条件之日起60日内到主管税务机关办理清算手续|在土地增值税清算中，计算扣除项目金额时，其实际发生的支出应当取得但未取得合法有效凭证的不得扣除|房地产开发企业发生的房屋装修费用计入开发费用，在计算土地增值税时可以扣除||3|||||通用p132符合清算条件应进行土地增值税清算的项目，纳税人应当在满足条件之日起90日内到主管税务机关办理清算手续|通用p132符合清算条件应进行土地增值税清算的项目，纳税人应当在满足条件之日起90日内到主管税务机关办理清算手续
中国公民王某于2015 年 9月起以6万元的资金持有上海证券交易所的某境内上市公司的股票 10000股。2016 年2月，该上市公司宣布实施每股0.8 元的分红决定，王某在3月将上述股票以7万元的价格转让，王某上述行为应缴纳个人所得税(    )元。|0|800|2700|2800||2|||||10000*0.8*50%*20%=800|10000*0.8*50%*20%=800
某工厂2016年4月15日签订合同购买一幢旧厂房，6月15日在房地产权属管理部门办理了产权转移证书。该厂房所占土地由该工厂开始缴纳城镇土地使用税的时间是(    )月份。|4      |5  |6      |7||4|||||通用p119第五节一2|通用p119第五节一2
对于资本弱化不允许扣除的利息支出，正确的计算公式应是(     )。|不得扣除的利息支出=年度应付关联方利息×（1-标准比例∕企业债资比例）|不得扣除的利息支出=年度应付关联方利息×（1+标准比例∕企业债资比例）|不得扣除的利息支出=年度应付关联方利息×（1-企业债资比例∕标准比例）|不得扣除的利息支出=年度应付关联方利息×（1+企业债资比例∕标准比例）||1|||||财税[2008]121|财税[2008]121
 2014年，中国公民王某取得以下收入： （1）每月工资收入4800元（不含“三险一金”）。（2）5月份受邀进行一场讲座，讲座收入3500元、往返交通补贴200元。（3）2014年1月1日起出租房屋，月租金2500元，全年租金收入30000元，其中2014年4月份发生房屋修缮费支出500元，取得合规票据。假设不考虑房屋出租过程中缴纳的营业税和教育费附加。根据上述资料，回答下列问题：（1）工资收入全年应纳个人所得税为(     )元。|39|114|468|1728||3|||||[(4800-3500)*3%-0]*12=468|[(4800-3500)*3%-0]*12=468
 2014年，中国公民王某取得以下收入： （1）每月工资收入4800元（不含“三险一金”）。（2）5月份受邀进行一场讲座，讲座收入3500元、往返交通补贴200元。（3）2014年1月1日起出租房屋，月租金2500元，全年租金收入30000元，其中2014年4月份发生房屋修缮费支出500元，取得合规票据。假设不考虑房屋出租过程中缴纳的营业税和教育费附加。根据上述资料，回答下列问题：（2）讲座收入应缴纳的个人所得税为(     )元。|406      |540|580 |592||3|||||(3700-800)*20%=580|(3700-800)*20%=580
 2014年，中国公民王某取得以下收入： （1）每月工资收入4800元（不含“三险一金”）。（2）5月份受邀进行一场讲座，讲座收入3500元、往返交通补贴200元。（3）2014年1月1日起出租房屋，月租金2500元，全年租金收入30000元，其中2014年4月份发生房屋修缮费支出500元，取得合规票据。假设不考虑房屋出租过程中缴纳的营业税和教育费附加。根据上述资料，回答下列问题：（3）全年租金收入应纳个人所得税为(      )元。|2880|3980|4720|4800||2|||||[(2500-800)*11+(2055-800-500)]*20%=3980|[(2500-800)*11+(2055-800-500)]*20%=3980
 2015年位于某市的甲企业：（1）共计拥有土地50000平方米，企业厂区内部绿化面积用地1000平方米，当地城镇土地使用税的年税额为每平方米10元；（2）新征用耕地20000平方米建造厂房，该地区适用耕地占用税定额税率为每平方米20元；（3）该企业共有房产原值6000万元，10月1日起企业将原值500万元、占地面积400平方米的一栋房屋出租给乙公司，租期2年，每月租金收入2万元。当地规定房产税原值扣除比例为30%。根据上述资料和税法的规定，回答下列问题：该企业2015年应缴纳的城镇土地使用税为（    ）元。|490000|500000|510000|600000||2|||||50000*10=500000|50000*10=500000
 2015年位于某市的甲企业：（1）共计拥有土地50000平方米，企业厂区内部绿化面积用地1000平方米，当地城镇土地使用税的年税额为每平方米10元；（2）新征用耕地20000平方米建造厂房，该地区适用耕地占用税定额税率为每平方米20元；（3）该企业共有房产原值6000万元，10月1日起企业将原值500万元、占地面积400平方米的一栋房屋出租给乙公司，租期2年，每月租金收入2万元。当地规定房产税原值扣除比例为30%。根据上述资料和税法的规定，回答下列问题：该企业2015年应缴纳的耕地占用税为（    ）元。|50000|100000|200000|400000||4|||||20000*20=400000|20000*20=400000
 2015年位于某市的甲企业：（1）共计拥有土地50000平方米，企业厂区内部绿化面积用地1000平方米，当地城镇土地使用税的年税额为每平方米10元；（2）新征用耕地20000平方米建造厂房，该地区适用耕地占用税定额税率为每平方米20元；（3）该企业共有房产原值6000万元，10月1日起企业将原值500万元、占地面积400平方米的一栋房屋出租给乙公司，租期2年，每月租金收入2万元。当地规定房产税原值扣除比例为30%。根据上述资料和税法的规定，回答下列问题：该企业2015年应缴纳的房产税为（  ）万元。|0.72|49.35|50.07|50.79||3|||||5500*(1-30%)*1.2%+500*(1-30%)*1.2%*9/12+2*12%*3=50.07|5500*(1-30%)*1.2%+500*(1-30%)*1.2%*9/12+2*12%*3=50.07
某粮食白酒生产企业为增值税一般纳税人，2013年3月销售粮食白酒取得销售额600万元，已开具增值税专用发票，收取包装物押金58.5万元，本月逾期未退还包装物押金11.7万元。2011年3月该酒厂增值税销项税额为(     )万元。 |116.24|110.5|88.87|103.7||2|||||从1995年6月1日起，对销售除啤酒、黄酒外的其他酒类产品而收取的包装物押金，无论是否返还以及会计上如何核算，均应并入当期销售额征税。600*17%+58.5/(1+17%)*17%=110.5|从1995年6月1日起，对销售除啤酒、黄酒外的其他酒类产品而收取的包装物押金，无论是否返还以及会计上如何核算，均应并入当期销售额征税。600*17%+58.5/(1+17%)*17%=110.5
下列各项中，能够引起所有者权益总额变化的是（    ）。|以资本公积转增资本|增发新股|向股东支付已宣告分派的现金股利|以盈余公积弥补亏损||2||||||
