Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
为开展纳税评估需要进行数据准备的主要包括以下几个方面（    ）|纳税人投资人个人违法违规情况|纳税人依法应报送未报送的涉税资料|与纳税人生产经营直接相关的情报|第三方资料|征管信息系统现有数据|2|3|4|5||p228 数据准备的目的是在整理征管信息系统现有的税务登记数据、纳税申报数据、征管数据、已有外部情报等数据的基础上，进一步补充纳税人依法应报送而未报送的涉税资料、纳税评估所需的与纳税人生产经营直接相关的情报以及第三方资料等。|p228 数据准备的目的是在整理征管信息系统现有的税务登记数据、纳税申报数据、征管数据、已有外部情报等数据的基础上，进一步补充纳税人依法应报送而未报送的涉税资料、纳税评估所需的与纳税人生产经营直接相关的情报以及第三方资料等。
征管信息系统现有数据包括:（    ）|税务登记信息|资格认定信息|纳税申报信息|税款征收信息|生产计划信息|1|2|3|4||p228其主要内容包括：税务登记信息、资格认定信息、纳税申报信息、税款征收信息、发票信息、非常规情报信息、历史评估稽查信息等。|p228其主要内容包括：税务登记信息、资格认定信息、纳税申报信息、税款征收信息、发票信息、非常规情报信息、历史评估稽查信息等。
第三方资料主要包括（    ）|工商部门、金融机构等单位依法应提供的数据|通过社会公共平台、互联网等媒介获取的公开资料|出现合并、分立、解散、撤销、破产等情形时的报告资料|除该纳税人以外的其他相关单位或个人依法应提供的相关资料|纳税人报送的合同|1|2|4|||p228第三方资料主要包括《税收征管法实施细则》规定的工商部门、金融机构等单位依法应提供的数据；也包括通过社会公共平台、互联网等媒介获取的公开资料以及除该纳税人以外的其他相关单位或个人依法应提供的相关资料。|p228第三方资料主要包括《税收征管法实施细则》规定的工商部门、金融机构等单位依法应提供的数据；也包括通过社会公共平台、互联网等媒介获取的公开资料以及除该纳税人以外的其他相关单位或个人依法应提供的相关资料。
深度分析主要基于以下几个方面的定位（     )：|确定纳税评估开展的方向|以验证纳税申报信息为主攻方向|纳税评估准备阶段的重点内容|编制纳税评估预案的基础|从规范程序走向规范实体内容的重要举措|1|3|4|5||p230深度分析主要基于以下四个方面的定位：（一）确定纳税评估开展的方向（二）纳税评估准备阶段的重点内容（三）编制纳税评估预案的基础（四）从规范程序走向规范实体内容的重要举措|p230深度分析主要基于以下四个方面的定位：（一）确定纳税评估开展的方向（二）纳税评估准备阶段的重点内容（三）编制纳税评估预案的基础（四）从规范程序走向规范实体内容的重要举措
深度分析的特点（    )：|以各类数据信息情报为基础|纳税评估准备阶段的重点内容|以纳税人个性特征为出发点|以验证纳税申报信息为主攻方向|以全面、系统、深度分析为实现路径|1|3|4|5||p230（一）以各类数据信息情报为基础（二）以纳税人个性特征为出发点（三）以验证纳税申报信息为主攻方向（四）以全面、系统、深度分析为实现路径|p230（一）以各类数据信息情报为基础（二）以纳税人个性特征为出发点（三）以验证纳税申报信息为主攻方向（四）以全面、系统、深度分析为实现路径
深度分析的内容主要包括（    ）|综合分析|风险识别结果指向分析|身份及生产经营特征分析|证据固定|纳税人基本情况分析|1|2|3|5||p230深度分析包括纳税人基本情况分析、身份及生产经营特征分析、风险识别结果指向分析、综合分析等。|p230深度分析包括纳税人基本情况分析、身份及生产经营特征分析、风险识别结果指向分析、综合分析等。
评估分析人员通过对纳税人身份及生产经营特征的分析，识别其中可能存在的涉税疑点，提出评估建议，形成身份及生产经营特征分析报告，为综合分析提供依据，该报告主要包括以下内容：（    ）|行业特征分析|特定税收政策分析|交易特征分析|基础信息分析|身份特征分析|1|2|3|5||p231该报告主要包括以下四个方面的内容：1．身份特征分析 就纳税人的投资结构、总分机构、是否上市等身份特征，参照同类型纳税人存在的风险特征进行分析，找出表现异常的涉税疑点。2．交易特征分析 就纳税人存在的跨国跨区、进出口、电子商务等交易行为，参照同类型交易行为存在的风险特征进行分析，找出表现异常的涉税疑点。3．行业特征分析 就纳税人所处行业的基本情况、产品及原料、工艺流程、盈利模式等行业特点，参照同行业纳税人存在的风险特征进行分析，找出表现异常的涉税疑点。4．特定税收政策分析 就纳税人所适用特定税收政策的执行情况，结合同类政策在执行过程中发现的风险特征进行分析，找出表现异常的涉税疑点。|p231该报告主要包括以下四个方面的内容：1．身份特征分析 就纳税人的投资结构、总分机构、是否上市等身份特征，参照同类型纳税人存在的风险特征进行分析，找出表现异常的涉税疑点。2．交易特征分析 就纳税人存在的跨国跨区、进出口、电子商务等交易行为，参照同类型交易行为存在的风险特征进行分析，找出表现异常的涉税疑点。3．行业特征分析 就纳税人所处行业的基本情况、产品及原料、工艺流程、盈利模式等行业特点，参照同行业纳税人存在的风险特征进行分析，找出表现异常的涉税疑点。4．特定税收政策分析 就纳税人所适用特定税收政策的执行情况，结合同类政策在执行过程中发现的风险特征进行分析，找出表现异常的涉税疑点。
下列属于案头审核的方式有（     ）|电话|信函|约谈|资料审查|实地调查|1|2|3|4||p233电话、信函、约谈、资料检查、账簿检查、第三方调查|p233电话、信函、约谈、资料检查、账簿检查、第三方调查
电话询问进行录音后，录音资料应当注明（    ）等，并附有该声音内容的文字记录。|制作方法|制作时间|制作人|证明对象|制作介质|1|2|3|4||p233询问结束后，录音资料应当注明制作方法、制作时间、制作人和证明对象等，并附有该声音内容的文字记录。|p233询问结束后，录音资料应当注明制作方法、制作时间、制作人和证明对象等，并附有该声音内容的文字记录。
税务机关采用信函方式进行案头审核的，纳税人可以通过（    ）等方式向税务机关进行反馈，评估人员将信函调查相关资料进行备案归档。|上门回复|邮寄回复|拒绝回复|网络回复|不回复|1|2|4|||p234纳税人可以通过上门回复、邮寄回复、网络回复等方式向税务机关进行反馈，评估检查人员将信函调查相关资料进行备案归档。|p234纳税人可以通过上门回复、邮寄回复、网络回复等方式向税务机关进行反馈，评估检查人员将信函调查相关资料进行备案归档。
税务机关需要调取当年的账簿、记账凭证、报表和其他有关资料的，应当（     )。|报经县以上税务局（分局）局长批准|对纳税人提供的账簿资料清点无误后，双方在清单上签字，并注明收到时间，加盖税务机关印章。|应当在30日之内完整退还|需要作为证据保存的，应当及时复印、影印，注明与原件核对一致，并要求纳税人签字盖章。|应出具《调取账簿资料通知书》和《调取账簿资料清单》，送达纳税人|2|3|4|5||p235    1．税务机关认为需要调取以前会计年度的账簿、记账凭证、报表和其他有关资料的，报经县以上税务局（分局）局长批准；需要调取当年的账簿、记账凭证、报表和其他有关资料的，报经设区的市以上税务局局长批准。2．调取纳税人以前或当年度的账簿、记账凭证、报表和其他有关资料的，应出具《调取账簿资料通知书》和《调取账簿资料清单》，送达纳税人。对纳税人提供的账簿资料清点无误后，双方在清单上签字，并注明收到时间，加盖税务机关印章。3．对调回的纳税人账簿、记账凭证、报表和其他有关资料实施检查。检查结束后，需在《税收征管法》规定的期限内将账簿资料完整退还纳税人。4．退还账簿资料时，由被查对象清点无误后，双方在清单上签字，并注明退还时间，加盖被查对象印章。调取以前年度账簿的，应当在3个月内完整退还；调取当年账簿的，应当在30日之内完整退还。5．对纳税人提供的账簿、记账凭证、报表和其他有关资料等，税务机关认为需要作为证据保存的，应当及时复印、影印，注明与原件核对一致，并要求纳税人签字盖章。|p235    1．税务机关认为需要调取以前会计年度的账簿、记账凭证、报表和其他有关资料的，报经县以上税务局（分局）局长批准；需要调取当年的账簿、记账凭证、报表和其他有关资料的，报经设区的市以上税务局局长批准。2．调取纳税人以前或当年度的账簿、记账凭证、报表和其他有关资料的，应出具《调取账簿资料通知书》和《调取账簿资料清单》，送达纳税人。对纳税人提供的账簿资料清点无误后，双方在清单上签字，并注明收到时间，加盖税务机关印章。3．对调回的纳税人账簿、记账凭证、报表和其他有关资料实施检查。检查结束后，需在《税收征管法》规定的期限内将账簿资料完整退还纳税人。4．退还账簿资料时，由被查对象清点无误后，双方在清单上签字，并注明退还时间，加盖被查对象印章。调取以前年度账簿的，应当在3个月内完整退还；调取当年账簿的，应当在30日之内完整退还。5．对纳税人提供的账簿、记账凭证、报表和其他有关资料等，税务机关认为需要作为证据保存的，应当及时复印、影印，注明与原件核对一致，并要求纳税人签字盖章。
纳税人有下列情形之一的，税务机关有权核定其应纳税额：（    ）|依照法律、行政法规的规定可以不设置账簿的；|依照法律、行政法规的规定应当设置账簿但未设置的；|擅自销毁账簿或者拒不提供纳税资料的；|虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的；|纳税人申报的计税依据偏低，又无正当理由的。|1|2|3|4||p149  核定应纳税额，是指纳税人存在《中华人民共和国税收征收管理法》第35条规定的下列情形之一的，税务机关有权核定其应纳税额：1．依照法律、行政法规的规定可以不设置账簿的；2．依照法律、行政法规的规定应当设置账簿但未设置的；3．擅自销毁账簿或者拒不提供纳税资料的；4．虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的；5．发生纳税义务，未按照规定的期限办理纳税申报，经税务机关责令限期申报，逾期仍不申报的；6．纳税人申报的计税依据明显偏低，又无正当理由的。|p149  核定应纳税额，是指纳税人存在《中华人民共和国税收征收管理法》第35条规定的下列情形之一的，税务机关有权核定其应纳税额：1．依照法律、行政法规的规定可以不设置账簿的；2．依照法律、行政法规的规定应当设置账簿但未设置的；3．擅自销毁账簿或者拒不提供纳税资料的；4．虽设置账簿，但账目混乱或者成本资料、收入凭证、费用凭证残缺不全，难以查账的；5．发生纳税义务，未按照规定的期限办理纳税申报，经税务机关责令限期申报，逾期仍不申报的；6．纳税人申报的计税依据明显偏低，又无正当理由的。
在评估过程中，发现纳税人存在下列情形之一，导致纳税评估确实无法进行的，制作终结应对申请，经审批后，终结评估。（    ）|人民法院已经裁定终结破产程序的；|发现纳税人被认定为非正常户的； |纳税人因不可抗力，不能接受税务机关的询问、检查的；|已经被税务稽查部门依法立案或司法机关立案查处的；|纳税评估检查涉及法律适用问题，需要送请有权机关作出解释或者确认的；|1|4||||p258  1．人民法院已经裁定终结破产程序的；2．已经被税务稽查部门依法立案或司法机关立案查处的；3．其他需要终结纳税评估的情形。|p258  1．人民法院已经裁定终结破产程序的；2．已经被税务稽查部门依法立案或司法机关立案查处的；3．其他需要终结纳税评估的情形。
下列情形属于可以中止评估的有（     ）|人民法院已经裁定终结破产程序的；|发现纳税人被认定为非正常户的； |纳税人因不可抗力，不能接受税务机关的询问、检查的；|已经被税务稽查部门依法立案或司法机关立案查处的；|纳税评估检查涉及法律适用问题，需要送请有权机关作出解释或者确认的；|2|3|5|||p258  （1）发现纳税人被认定为非正常户的；（2）纳税人已依法办结注销手续的；（3）作为一方的行政机关、法人或其他组织终止，尚未确定权利义务承受人的；（4）纳税人因不可抗力，不能接受税务机关的询问、检查的；（5）纳税人的账簿、记账凭证及有关资料被其他国家机关依法调取且尚未归还的；（6）纳税评估检查涉及法律适用问题，需要送请有权机关作出解释或者确认的；（7）纳税评估检查的事实依据需要以相关民事、刑事或者其他行政案件的审理结果为依据，而相关案件尚未审结的；（8）其他应当中止纳税评估检查的法律情形。|p258  （1）发现纳税人被认定为非正常户的；（2）纳税人已依法办结注销手续的；（3）作为一方的行政机关、法人或其他组织终止，尚未确定权利义务承受人的；（4）纳税人因不可抗力，不能接受税务机关的询问、检查的；（5）纳税人的账簿、记账凭证及有关资料被其他国家机关依法调取且尚未归还的；（6）纳税评估检查涉及法律适用问题，需要送请有权机关作出解释或者确认的；（7）纳税评估检查的事实依据需要以相关民事、刑事或者其他行政案件的审理结果为依据，而相关案件尚未审结的；（8）其他应当中止纳税评估检查的法律情形。
税务机关依法到车站、码头、机场、邮政企业及其分支机构检查纳税人有关情况时，有关单位拒绝的，由税务机关责令改正，可以处（     ）|1万元以下的罚款； |2000元以上1万元以下罚款|情节严重的，处1万元以上5万元以下的罚款|5万元以上罚款|1万元以上罚款|1|3||||p260《税收征管法实施细则》第九十五条规定，税务机关依照《税收征管法》第五十四条第（五）项的规定，到车站、码头、机场、邮政企业及其分支机构检查纳税人有关情况时，有关单位拒绝的，由税务机关责令改正，可以处1万元以下的罚款；情节严重的，处1万元以上5万元以下的罚款。|p260《税收征管法实施细则》第九十五条规定，税务机关依照《税收征管法》第五十四条第（五）项的规定，到车站、码头、机场、邮政企业及其分支机构检查纳税人有关情况时，有关单位拒绝的，由税务机关责令改正，可以处1万元以下的罚款；情节严重的，处1万元以上5万元以下的罚款。
纳税人有下列（     ）行为之一的，由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上1万元以下的罚款：|不进行纳税申报，不缴或者少缴应纳税款的；|未按照规定设置、保管账簿或者保管记账凭证和有关资料的；|未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；|未按照规定将其全部银行账号向税务机关报告的；|未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。|2|3|4|5||p259《税收征管法》第六十条规定，纳税人有下列行为之一的，由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上1万元以下的罚款：（1）未按照规定的期限申报办理税务登记、变更或者注销登记的；（2）未按照规定设置、保管账簿或者保管记账凭证和有关资料的；（3）未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；（4）未按照规定将其全部银行账号向税务机关报告的；（5）未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。纳税人不办理税务登记的，由税务机关责令限期改正；逾期不改正的，经税务机关提请，由工商行政管理机关吊销其营业执照。|p259《税收征管法》第六十条规定，纳税人有下列行为之一的，由税务机关责令限期改正，可以处2000元以下的罚款；情节严重的，处2000元以上1万元以下的罚款：（1）未按照规定的期限申报办理税务登记、变更或者注销登记的；（2）未按照规定设置、保管账簿或者保管记账凭证和有关资料的；（3）未按照规定将财务、会计制度或者财务、会计处理办法和会计核算软件报送税务机关备查的；（4）未按照规定将其全部银行账号向税务机关报告的；（5）未按照规定安装、使用税控装置，或者损毁或者擅自改动税控装置的。纳税人不办理税务登记的，由税务机关责令限期改正；逾期不改正的，经税务机关提请，由工商行政管理机关吊销其营业执照。
《国家税务总局关于确认企业所得税收入若干问题的通知》（国税函〔2008〕875）一、除企业所得税法及实施条例另有规定外，企业销售收入的确认，必须遵循权责发生制原则和实质重于形式原则。企业销售商品同时满足下列条件的，应确认收入的实现（     ）：|商品销售合同已经签订，企业已将商品所有权相关的主要风险和报酬转移给购货方|企业对已售出的商品既没有保留通常与所有权相联系的继续管理权，也没有实施有效控制|收入的金额能够可靠地计量|已发生或将发生的销售方的成本能够可靠地核算|相关的经济利益很可能流入企业|1|2|3|4||p239企业销售商品同时满足下列条件的，应确认收入的实现：1.商品销售合同已经签订，企业已将商品所有权相关的主要风险和报酬转移给购货方；2.企业对已售出的商品既没有保留通常与所有权相联系的继续管理权，也没有实施有效控制；3.收入的金额能够可靠地计量；4.已发生或将发生的销售方的成本能够可靠地核算。|p239企业销售商品同时满足下列条件的，应确认收入的实现：1.商品销售合同已经签订，企业已将商品所有权相关的主要风险和报酬转移给购货方；2.企业对已售出的商品既没有保留通常与所有权相联系的继续管理权，也没有实施有效控制；3.收入的金额能够可靠地计量；4.已发生或将发生的销售方的成本能够可靠地核算。
已列销售账户错报销售额的审查。评估人员审查时，应着重抓住以下几个方面进行查核（    ）|短报、漏报销售额|按销售差额申报增值税|计算处理错误，少计或不计销项税额|收入挂往来结算账户|以货抵债|1|2|3|||p240已列销售账户错报销售额的审查评估人员审查时，应着重抓住以下几个方面进行查核：①短报、漏报销售额短报、漏报销售额的情况主要有：漏报业务收入项目；汇总计算销售额时串位，将应税销售额计入免税销售额；厂部下属销售网点、门市部及自用产品（商品）不申报纳税等。 ②按销售差额申报增值税 企业按销售差额申报纳税的问题是：从销售额中扣除价外费用、推销奖、手续费、佣金，单独开发票的折扣额、还本支出、旧货物作价款项、随同产品（商品）销售的包装物成本、外购配套件价款等后申报纳税等。 ③计算处理错误，少计或不计销项税额 该类的审查方法是以年度、季度或月度纳税申报表中的申报收入额及损益表中的有关数据与“主营业务收入”明细账贷方发生额结合会计凭证进行核对，看是否相符。必要时，可抽查销售日报表、发货票存根联、银行解款单等。查明申报销售收入与账面数额是否相符、征免划分是否符合规定。如账、表应税收入额大于申报数，应查明原因。|p240已列销售账户错报销售额的审查评估人员审查时，应着重抓住以下几个方面进行查核：①短报、漏报销售额短报、漏报销售额的情况主要有：漏报业务收入项目；汇总计算销售额时串位，将应税销售额计入免税销售额；厂部下属销售网点、门市部及自用产品（商品）不申报纳税等。 ②按销售差额申报增值税 企业按销售差额申报纳税的问题是：从销售额中扣除价外费用、推销奖、手续费、佣金，单独开发票的折扣额、还本支出、旧货物作价款项、随同产品（商品）销售的包装物成本、外购配套件价款等后申报纳税等。 ③计算处理错误，少计或不计销项税额 该类的审查方法是以年度、季度或月度纳税申报表中的申报收入额及损益表中的有关数据与“主营业务收入”明细账贷方发生额结合会计凭证进行核对，看是否相符。必要时，可抽查销售日报表、发货票存根联、银行解款单等。查明申报销售收入与账面数额是否相符、征免划分是否符合规定。如账、表应税收入额大于申报数，应查明原因。
提供劳务收入的审核，主要包括：（     ）|审核提供劳务收入确认的时点是否正确|审核提供劳务收入确认的金额是否正确|审核跨年度劳务完工百分比法的计算是否正确|查阅工商登记情况，采取询问、实地观察等方法，了解企业的实际经营范围|检查 “其他应付款 ”等负债账户，判定是否有隐匿其他业务收入的情况|1|2|3|||p241（2）提供劳务收入的审核 ①审核提供劳务收入确认的时点是否正确 如果提供的劳务当年开工并完工，在完工时一次确认收入按照规定申报各税。如果提供的劳务当年开工次年完工且持续时间超过12个月，应在年度终了完工百分比法确认提供劳务收入，并按规定申报纳税。②审核提供劳务收入确认的金额是否正确 结合劳务合同、劳务结算凭据等，检查“主营业务收入”“其他业务收入”“主营业务成本”“其他业务成本”等账户，重点审查应收未收的合同或协议价款是否全额结转了当期收入总额。③审核跨年度劳务完工百分比法的计算是否正确对跨年度劳务可按会计准则规定的方法计算完工程度（专业技术测量法、劳务量比例法和工程合同成本比例法），审核时主要审核完工程度的计算是否正确。|p241（2）提供劳务收入的审核 ①审核提供劳务收入确认的时点是否正确 如果提供的劳务当年开工并完工，在完工时一次确认收入按照规定申报各税。如果提供的劳务当年开工次年完工且持续时间超过12个月，应在年度终了完工百分比法确认提供劳务收入，并按规定申报纳税。②审核提供劳务收入确认的金额是否正确 结合劳务合同、劳务结算凭据等，检查“主营业务收入”“其他业务收入”“主营业务成本”“其他业务成本”等账户，重点审查应收未收的合同或协议价款是否全额结转了当期收入总额。③审核跨年度劳务完工百分比法的计算是否正确对跨年度劳务可按会计准则规定的方法计算完工程度（专业技术测量法、劳务量比例法和工程合同成本比例法），审核时主要审核完工程度的计算是否正确。
销售费用的审核主要包括：（    ）|广告费和业务宣传费的审核|佣金、手续费的审核|运输费、装卸费等销售费用的审核|会议费的审核|研发费用的审核|1|2|3|4||p243①广告费和业务宣传费的审核 审查企业发生的广告费和业务宣传费的原始凭据，确认支出的真实性和有效性，将不允许税前列支的费用，借用广告费和业务宣传费的名义税前扣除。审查广告合同载明的金额与期限，掌握企业广告费用的计量情况，检查企业是否将预支的以后年度广告费和业务宣传费支出提前申报扣除。②佣金、手续费的审核属于支付给个人的佣金、手续费支出，可以追查有关费用领用手续，是否由本企业的销售人员签字代领；要求企业提供领取佣金的个人相关资料，审查其是否属于依法从事中介代理业务的个体工商户。对支付单位的佣金，审查银行转账凭证，核实是否确实将款项支付给有关单位，是否存在虚列单位，多在税前扣除佣金的问题。查核是否有与取得收入无关的手续费及佣金支出和超过税法限额部分的手续费及佣金支出是否作纳税调增。 ③运输费、装卸费等销售费用的审核 对运输费、装卸费等费用可以核实发票的真实性、运价的合理性、运输方式的正当性，必要时与销售合同的内容与凭证的内容是否一致，核实是否存在利用虚假业务增加费用的行为。审查销售费用的运输费、装卸费等明细账，确认是否剔除应计入材料采购成本的外地运杂费、向购货方收回的代垫费用等。 ④会议费的审核  对销售费用明细账中的会议费进行检查，审阅有关原始凭证，如会议通知，参会人员花名册等，确认是否确实属于会议费，对原始凭证是旅游旺季、旅游热点地区的餐饮、住宿费用，进行详细审查，必要时进行外调，确认会议费用的真实性。⑤销售机构费用的审核 审查“销售费用--专设销售机构经费”明细账及其有关记账凭证和原始凭证，有无虚列销售人员工资费用的；有无不按规定多计提折旧费和低值易耗品摊销费用；有无虚报冒领加大差旅费、办公费和修理费开支，多计销售费用的问题。 ⑥其他销售费用的审核 审查销售费用明细账中其他费用的列支内容，核实有无存在虚报、虚列销售费用的情况。审查销售费用中列支的运费补贴等奖励性支出、各种形式的实物返回。|p243①广告费和业务宣传费的审核 审查企业发生的广告费和业务宣传费的原始凭据，确认支出的真实性和有效性，将不允许税前列支的费用，借用广告费和业务宣传费的名义税前扣除。审查广告合同载明的金额与期限，掌握企业广告费用的计量情况，检查企业是否将预支的以后年度广告费和业务宣传费支出提前申报扣除。②佣金、手续费的审核属于支付给个人的佣金、手续费支出，可以追查有关费用领用手续，是否由本企业的销售人员签字代领；要求企业提供领取佣金的个人相关资料，审查其是否属于依法从事中介代理业务的个体工商户。对支付单位的佣金，审查银行转账凭证，核实是否确实将款项支付给有关单位，是否存在虚列单位，多在税前扣除佣金的问题。查核是否有与取得收入无关的手续费及佣金支出和超过税法限额部分的手续费及佣金支出是否作纳税调增。 ③运输费、装卸费等销售费用的审核 对运输费、装卸费等费用可以核实发票的真实性、运价的合理性、运输方式的正当性，必要时与销售合同的内容与凭证的内容是否一致，核实是否存在利用虚假业务增加费用的行为。审查销售费用的运输费、装卸费等明细账，确认是否剔除应计入材料采购成本的外地运杂费、向购货方收回的代垫费用等。 ④会议费的审核  对销售费用明细账中的会议费进行检查，审阅有关原始凭证，如会议通知，参会人员花名册等，确认是否确实属于会议费，对原始凭证是旅游旺季、旅游热点地区的餐饮、住宿费用，进行详细审查，必要时进行外调，确认会议费用的真实性。⑤销售机构费用的审核 审查“销售费用--专设销售机构经费”明细账及其有关记账凭证和原始凭证，有无虚列销售人员工资费用的；有无不按规定多计提折旧费和低值易耗品摊销费用；有无虚报冒领加大差旅费、办公费和修理费开支，多计销售费用的问题。 ⑥其他销售费用的审核 审查销售费用明细账中其他费用的列支内容，核实有无存在虚报、虚列销售费用的情况。审查销售费用中列支的运费补贴等奖励性支出、各种形式的实物返回。
不得纳入研发费用加计扣除范围的费用项目包括：（     ）|外聘研发人员的劳务费用|企业为在职直接从事研发活动人员缴纳的补充养老保险、补充医疗保险费用|研发活动所用房屋的租赁费和折旧费|从政府取得的研究开发费用专项拨款|专用于研发活动的仪器、设备的折旧费或租赁费|2|3|4|||《关于完善研究开发费用税前加计扣除政策的通知》（财税[2015]119号）|《关于完善研究开发费用税前加计扣除政策的通知》（财税[2015]119号）
审查差旅费主要是针对发生额较大的或整数异常金额，查阅原始凭证的真实性、合法性，并注意有无下列问题（     ） |将业务招待费列入差旅费开支。 |因公出差事项的真实性。如发现公园门票、各种参观券等旅游票据则不得作为差旅费开支的范围。 |以承包形式包干差旅费，主要是检查列支报销的凭据是否合法，有无自制 “白条 ”报销差旅费的问题。 |出差补助是否合理，出差的期限是否真实，补助标准是否符合财务制度。|差旅费支出是否经过部门领导审批|1|2|3|4||p246•将业务招待费列入差旅费开支。•因公出差事项的真实性。如发现公园门票、各种参观券等旅游票据则不得作为差旅费开支的范围。 •以承包形式包干差旅费，主要是检查列支报销的凭据是否合法，有无自制“白条”报销差旅费的问题。 •出差补助是否合理，出差的期限是否真实，补助标准是否符合财务制度。对于上述问题，均应作纳税调增处理。 |p246•将业务招待费列入差旅费开支。•因公出差事项的真实性。如发现公园门票、各种参观券等旅游票据则不得作为差旅费开支的范围。 •以承包形式包干差旅费，主要是检查列支报销的凭据是否合法，有无自制“白条”报销差旅费的问题。 •出差补助是否合理，出差的期限是否真实，补助标准是否符合财务制度。对于上述问题，均应作纳税调增处理。 
关联方企业间利息支出的审核，包括以下内容（     ）|审查企业成立章程等，核实企业资金来源、购销渠道，确定企业间是否在资金、经营、购销等方面存在直接或者间接的控制关系；是否直接或者间接地同为第三者控制；是否在利益上具有相关联的其他关系，以此确认借贷双方企业是否构成关联关系。|审查企业从其关联方接受的债权性投资与权益性投资的比例是否超过规定标准，不超过标准的借款利率是否超过金融机构同类、同期利率。|审查企业按有关规定提供相关资料，能否证明相关交易活动符合独立交易原则的或者该企业的实际税负不高于境内关联方。|房地产开发企业统借统还业务不作为关联方借款处理，对于集团公司从子公司收取的利息中用于归还金融机构的利息税法规定应征收营业税，但需审查集团公司多收取的贷款利息是否申报缴纳营业税。|审查是否签订了借款合同|1|2|3|||p247第一，审查企业成立章程等，核实企业资金来源、购销渠道，确定企业间是否在资金、经营、购销等方面存在直接或者间接的控制关系；是否直接或者间接地同为第三者控制；是否在利益上具有相关联的其他关系，以此确认借贷双方企业是否构成关联关系。第二，审查企业从其关联方接受的债权性投资与权益性投资的比例是否超过规定标准，不超过标准的借款利率是否超过金融机构同类同期利率。第三，审查企业按有关规定提供相关资料，能否证明相关交易活动符合独立交易原则的或者该企业的实际税负不高于境内关联方。|p247第一，审查企业成立章程等，核实企业资金来源、购销渠道，确定企业间是否在资金、经营、购销等方面存在直接或者间接的控制关系；是否直接或者间接地同为第三者控制；是否在利益上具有相关联的其他关系，以此确认借贷双方企业是否构成关联关系。第二，审查企业从其关联方接受的债权性投资与权益性投资的比例是否超过规定标准，不超过标准的借款利率是否超过金融机构同类同期利率。第三，审查企业按有关规定提供相关资料，能否证明相关交易活动符合独立交易原则的或者该企业的实际税负不高于境内关联方。
除国务院财政、税务主管部门另有规定外，固定资产计算折旧的最低年限如下：（    ）|房屋、建筑物，为20年；|飞机、火车、轮船、机器、机械和其他生产设备，为10年；|与生产经营活动有关的器具、工具、家具等，为5年；|飞机、火车、轮船以外的运输工具，为5年；|电子设备，为3年。|1|2|3|5||p249①固定资产折旧年限的规定《企业所得税法实施条例》第六十条规定，除国务院财政、税务主管部门另有规定外，固定资产计算折旧的最低年限如下：房屋、建筑物，为20年；飞机、火车、轮船、机器、机械和其他生产设备，为10年；与生产经营活动有关的器具、工具、家具等，为5年；飞机、火车、轮船以外的运输工具，为4年；电子设备，为3年。|p249①固定资产折旧年限的规定《企业所得税法实施条例》第六十条规定，除国务院财政、税务主管部门另有规定外，固定资产计算折旧的最低年限如下：房屋、建筑物，为20年；飞机、火车、轮船、机器、机械和其他生产设备，为10年；与生产经营活动有关的器具、工具、家具等，为5年；飞机、火车、轮船以外的运输工具，为4年；电子设备，为3年。
根据税法规定，下列固定资产不得计算折旧扣除的有（    ）：|房屋、建筑物以外未投入使用的固定资产|以经营租赁方式租出的固定资产|以融资租赁方式租出的固定资产|已足额提取折旧仍继续使用的固定资产|与经营活动无关的固定资产 |1|3|4|5||p250下列固定资产不得计算折旧扣除：房屋、建筑物以外未投入使用的固定资产；以经营租赁方式租入的固定资产；以融资租赁方式租出的固定资产；已足额提取折旧仍继续使用的固定资产；与经营活动无关的固定资产；单独估价作为固定资产入账的土地；其他不得计算折旧扣除的固定资产。 |p250下列固定资产不得计算折旧扣除：房屋、建筑物以外未投入使用的固定资产；以经营租赁方式租入的固定资产；以融资租赁方式租出的固定资产；已足额提取折旧仍继续使用的固定资产；与经营活动无关的固定资产；单独估价作为固定资产入账的土地；其他不得计算折旧扣除的固定资产。 
纳税担保范围包括了实现税款、滞纳金的费用。这里的费用包括（    ）|抵押登记费用|质押登记费用|质押保管费用|保管、拍卖、变卖担保财产等相关费用|手续费|1|2|3|4||p263纳税担保范围包括税款、滞纳金和实现税款、滞纳金的费用。费用包括抵押、质押登记费用，质押保管费用，以及保管、拍卖、变卖担保财产等相关费用支出。|p263纳税担保范围包括税款、滞纳金和实现税款、滞纳金的费用。费用包括抵押、质押登记费用，质押保管费用，以及保管、拍卖、变卖担保财产等相关费用支出。
