Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|Notes
依据《财政部 国家税务总局 发展改革委工业和信息化部关于软件和集成电路产业企业所得税优惠政策有关问题的通知》（财税[2016]49号），下列属于集成电路生产企业可以享受企业所得税优惠政策应具备的条件有（      ）。|依法在中国境内成立并经认定取得集成电路生产企业资质的法人企业|汇算清缴年度集成电路制造销售（营业）收入占企业收入总额的比例不低于60% |具有与集成电路生产相适应的经营场所、软硬件设施等基本条件|汇算清缴年度未发生重大安全、重大质量事故或严重环境违法行为 |汇算清缴年度研究开发费用总额占企业销售（营业）收入（主营业务收入与其他业务收入之和）总额的比例不低于5％|2|4|5|||公共知识P277（三）拥有核心关键技术，并以此为基础开展经营活动，且汇算清缴年度研究开发费用总额占企业销售（营业）收入（主营业务收入与其他业务收入之和，下同）总额的比例不低于5%；其中，企业在中国境内发生的研究开发费用金额占研究开发费用总的比例不低于60%；（四）汇算清缴年度集成电路制造销售（营业）收入占企业收入总额的比例不低于60%；（六）汇算清缴年度未发生重大安全、重大质量事故或严重环境违法行为。|公共知识P277（三）拥有核心关键技术，并以此为基础开展经营活动，且汇算清缴年度研究开发费用总额占企业销售（营业）收入（主营业务收入与其他业务收入之和，下同）总额的比例不低于5%；其中，企业在中国境内发生的研究开发费用金额占研究开发费用总的比例不低于60%；（四）汇算清缴年度集成电路制造销售（营业）收入占企业收入总额的比例不低于60%；（六）汇算清缴年度未发生重大安全、重大质量事故或严重环境违法行为。
依据《关于修订印发《高新技术企业认定管理工作指引》的通知》（国科发火[2016]195号），高新技术产品（服务）收入是指企业通过研发和相关技术创新活动，取得的产品（服务）收入与技术性收入的总和。对企业取得上述收入发挥核心支持作用的技术应属于《技术领域》规定的范围。其中，技术性收入包括（     ）。|技术转让收入  |委托外部研发收入 |技术服务收入|接受委托研究开发收入  |企业技术创新成果通过技术贸易所获得的收入|1|3|4|5||公共知识P284（1）技术转让收入：指企业技术创新成果通过技术贸易、技术转让所获得的收入；（2）技术服务收入：指企业利用自己的人力、物力和数据系统等为社会和本企业外的用户提供技术资料、技术咨询与市场评估、工程技术项目设计、数据处理、测试分析及其他类型的服务所获得的收入；（3）接受委托研究开发收入：指企业承担社会各方面委托研究开发、中间试验及新产品开发所获得的收入。|公共知识P284（1）技术转让收入：指企业技术创新成果通过技术贸易、技术转让所获得的收入；（2）技术服务收入：指企业利用自己的人力、物力和数据系统等为社会和本企业外的用户提供技术资料、技术咨询与市场评估、工程技术项目设计、数据处理、测试分析及其他类型的服务所获得的收入；（3）接受委托研究开发收入：指企业承担社会各方面委托研究开发、中间试验及新产品开发所获得的收入。
自2016年7月1日起，全面推开资源税从价计征改革：对（       ）等21个税目由从量定额改为从价定率计征，计税依据由原矿销售量调整为原矿、精矿（或原矿加工品）、氯化钠初级产品或金锭的销售额；对未列举名称的其他金属矿和大多数非金属矿也将改为从价计征。为平衡原矿与精矿的资源税负担，相应增加了应税产品销售额换算或折算的政策规定。|铁矿 |金矿 |石墨 |海盐|钨矿|1|2|3|4||公共知识P291　1．对《资源税税目税率幅度表》（见附件）中列举名称的21种资源品目和未列举名称的其他金属矿实行从价计征，计税依据由原矿销售量调整为原矿、精矿（或原矿加工品）、氯化钠初级产品或金锭的销售额。列举名称的21种资源品目包括：铁矿、金矿、铜矿、铝土矿、铅锌矿、镍矿、锡矿、石墨、硅藻土、高岭土、萤石、石灰石、硫铁矿、磷矿、氯化钾、硫酸钾、井矿盐、湖盐、提取地下卤水晒制的盐、煤层（成）气、海盐。|公共知识P291　1．对《资源税税目税率幅度表》（见附件）中列举名称的21种资源品目和未列举名称的其他金属矿实行从价计征，计税依据由原矿销售量调整为原矿、精矿（或原矿加工品）、氯化钠初级产品或金锭的销售额。列举名称的21种资源品目包括：铁矿、金矿、铜矿、铝土矿、铅锌矿、镍矿、锡矿、石墨、硅藻土、高岭土、萤石、石灰石、硫铁矿、磷矿、氯化钾、硫酸钾、井矿盐、湖盐、提取地下卤水晒制的盐、煤层（成）气、海盐。
国家规划布局内的重点集成电路设计领域（        ）|高性能处理器和FPGA芯片，存储器芯片|物联网和信息安全芯片|EDA、IP及设计服务|工业芯片|IPO及设计服务|1|2|3|4||公共知识P297（一）高性能处理器和FPGA芯片。 （二）存储器芯片。 （三）物联网和信息安全芯片。 （四）EDA、IP及设计服务。 （五）工业芯片。|公共知识P297（一）高性能处理器和FPGA芯片。 （二）存储器芯片。 （三）物联网和信息安全芯片。 （四）EDA、IP及设计服务。 （五）工业芯片。
保险企业代个人保险代理人申请汇总代开增值税发票时，应向主管国税机关出具个人保险代理人的姓名、身份证号码、（      ）的详细清单。|联系方式|付款时间|付款金额|代征税款|家庭住址|1|2|3|4||公共知识P298保险企业代个人保险代理人申请汇总代开增值税发票时，应向主管国税机关出具个人保险代理人的姓名、身份证号码、联系方式、付款时间、付款金额、代征税款的详细清单。|公共知识P298保险企业代个人保险代理人申请汇总代开增值税发票时，应向主管国税机关出具个人保险代理人的姓名、身份证号码、联系方式、付款时间、付款金额、代征税款的详细清单。
依据《关于修订《企业政策性搬迁搬迁开始受理规程》的通知》（沪国税函[2016]96号上海市国家税务局 上海市地方税务局），办税服务厅受理备案时，应核对《登记表》填写内容是否与征收决定、附送资料一致，征收决定是否与住建委、规土局搬迁、征收信息一致。以下情况处理正确的有（     ）。|属于自搬迁开始年度（应当按照签订政策性搬迁合同、协议且资产交接时所属年度确认，下同）至次年5月31日前申报，且《登记表》、征收决定和附送资料一致的，税务机关应当受理   |在限定期限内未能补齐应当报送资料的，应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理|属于自搬迁开始年度，至次年5月31日前申报，《登记表》、征收决定和附送资料不一致或不全的，应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》  |属于逾期申报且无特殊原因的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理|属于逾期申报且无特殊原因的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知企业补税|1|2|4|||公共知识P300、301（一）属于自搬迁开始年度（应当按照签订政策性搬迁合同、协议且资产交接时所属年度确认，下同）至次年5月31日前申报，且《登记表》、征收决定和附送资料一致的，税务机关应当受理，在《登记表》中标注受理意见，注明日期，加盖受理专用印章，向纳税人提供《告知书及其留存备查资料清单》。其中，属于资产置换且不收取补价的应当同时发起清算流程。（二）属于自搬迁开始年度，至次年5月31日前申报，《登记表》、征收决定和附送资料不一致或不全的，应当向纳税人发出《税务事项通知书（补正通知）》。企业对《登记表》及附送资料补充更正后符合规定的，应当按照（一）进行处理；在限定期限内未能补齐应当报送资料的，应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。（三）属于逾期申报且无特殊原因的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。属于逾期申报但确有特殊原因的，纳税人应当补充提供经征管部门确认的证明材料。（四）搬迁开始年度企业实行核定征收的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。|公共知识P300、301（一）属于自搬迁开始年度（应当按照签订政策性搬迁合同、协议且资产交接时所属年度确认，下同）至次年5月31日前申报，且《登记表》、征收决定和附送资料一致的，税务机关应当受理，在《登记表》中标注受理意见，注明日期，加盖受理专用印章，向纳税人提供《告知书及其留存备查资料清单》。其中，属于资产置换且不收取补价的应当同时发起清算流程。（二）属于自搬迁开始年度，至次年5月31日前申报，《登记表》、征收决定和附送资料不一致或不全的，应当向纳税人发出《税务事项通知书（补正通知）》。企业对《登记表》及附送资料补充更正后符合规定的，应当按照（一）进行处理；在限定期限内未能补齐应当报送资料的，应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。（三）属于逾期申报且无特殊原因的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。属于逾期申报但确有特殊原因的，纳税人应当补充提供经征管部门确认的证明材料。（四）搬迁开始年度企业实行核定征收的，税务机关应当向纳税人发出《税务事项通知书（非政策性搬迁处理通知书）》，并书面通知核查部门按规定处理。
依据《财政部 国家税务总局 关于完善股权激励和技术入股有关所得税政策的通知》（财税[2016]101），非上市公司授予本公司员工的（     ），符合规定条件的，经向主管税务机关备案，可实行递延纳税政策。|股票认购权  |股权奖励|股权期权|限制性股票|股票期权|2|3|4|5||公共知识P303非上市公司授予本公司员工的股票期权、股权期权、限制性股票和股权奖励，符合规定条件的，经向主管税务机关备案，可实行递延纳税政策，即员工在取得股权激励时可暂不纳税，递延至转让该股权时纳税；股权转让时，按照股权转让收入减除股权取得成本以及合理税费后的差额，适用“财产转让所得”项目，按照20%的税率计算缴纳个人所得税。 |公共知识P303非上市公司授予本公司员工的股票期权、股权期权、限制性股票和股权奖励，符合规定条件的，经向主管税务机关备案，可实行递延纳税政策，即员工在取得股权激励时可暂不纳税，递延至转让该股权时纳税；股权转让时，按照股权转让收入减除股权取得成本以及合理税费后的差额，适用“财产转让所得”项目，按照20%的税率计算缴纳个人所得税。 
依据《财政部 国家税务总局 关于完善股权激励和技术入股有关所得税政策的通知》（财税[2016]101），对符合条件的非上市公司股票期权、股权期权、限制性股票和股权奖励实行递延纳税政策股权转让时，下列关于成本的说法正确的有（     ）。|股票期权取得成本按行权价确定  |限制性股票取得成本为零  |股权期权取得成本按股权原值确定  |股权奖励取得成本为零|股权奖励取得成本按行权价确定|1|4||||公共知识P303股权转让时，股票（权）期权取得成本按行权价确定，限制性股票取得成本按实际出资额确定，股权奖励取得成本为零。|公共知识P303股权转让时，股票（权）期权取得成本按行权价确定，限制性股票取得成本按实际出资额确定，股权奖励取得成本为零。
被评定为一类出口企生产企业应同时符合下列条件（     ）|企业的生产能力与上一年度申报出口退（免）税规模相匹配|近3年（含评定当年）未发生过虚开增值税专用发票或者其他增值税扣税凭证、骗取出口退税行为|上一年度的年末净资产大于上一年度该企业已办理的出口退税额（不含免抵税额）|评定时纳税信用级别为A级或B级|评定当年的前近3年未发生过虚开增值税专用发票或者其他增值税扣税凭证、骗取出口退税行为|1|2|3|4||公共知识P305  1.企业的生产能力与上一年度申报出口退（免）税规模相匹配。2.近3年（含评定当年，下同）未发生过虚开增值税专用发票或者其他增值税扣税凭证、骗取出口退税行为。3.上一年度的年末净资产大于上一年度该企业已办理的出口退税额（不含免抵税额）。4.评定时纳税信用级别为A级或B级。5.企业内部建立了较为完善的出口退（免）税风险控制体系。|公共知识P305  1.企业的生产能力与上一年度申报出口退（免）税规模相匹配。2.近3年（含评定当年，下同）未发生过虚开增值税专用发票或者其他增值税扣税凭证、骗取出口退税行为。3.上一年度的年末净资产大于上一年度该企业已办理的出口退税额（不含免抵税额）。4.评定时纳税信用级别为A级或B级。5.企业内部建立了较为完善的出口退（免）税风险控制体系。
具有下列（   ）情形之一的出口企业，其出口企业管理类别应评定为三类：|自首笔申报出口退（免）税之日起至评定时未满12个月。|尚未评价纳税信用级别。|上一年度累计6个月以上未申报出口退（免）税（从事对外援助、对外承包、境外投资业务的，以及出口季节性商品或出口生产周期较长的大型设备的出口企业除外）。|上一年度发生过违反出口退（免）税有关规定的情形，但尚未达到税务机关行政处罚标准或司法机关处理标准的。|评定时纳税信用级别为D级|1|2|3|4||公共知识P306（一）自首笔申报出口退（免）税之日起至评定时未满12个月。（二）评定时纳税信用级别为C级，或尚未评价纳税信用级别。（三）上一年度累计6个月以上未申报出口退（免）税（从事对外援助、对外承包、境外投资业务的，以及出口季节性商品或出口生产周期较长的大型设备的出口企业除外）。（四）上一年度发生过违反出口退（免）税有关规定的情形，但尚未达到税务机关行政处罚标准或司法机关处理标准的。（五）存在省国家税务局规定的其他失信或风险情形。|公共知识P306（一）自首笔申报出口退（免）税之日起至评定时未满12个月。（二）评定时纳税信用级别为C级，或尚未评价纳税信用级别。（三）上一年度累计6个月以上未申报出口退（免）税（从事对外援助、对外承包、境外投资业务的，以及出口季节性商品或出口生产周期较长的大型设备的出口企业除外）。（四）上一年度发生过违反出口退（免）税有关规定的情形，但尚未达到税务机关行政处罚标准或司法机关处理标准的。（五）存在省国家税务局规定的其他失信或风险情形。
关联交易主要包括：（    ）|有形资产使用权或者所有权的转让|金融资产的转让|无形资产使用权或者所有权的转让|资金融通|劳务交易|1|2|3|4|5|公共知识P314（一）有形资产使用权或者所有权的转让。（二）金融资产的转让。（三）无形资产使用权或者所有权的转让。（四）资金融通。（五）劳务交易。|公共知识P314（一）有形资产使用权或者所有权的转让。（二）金融资产的转让。（三）无形资产使用权或者所有权的转让。（四）资金融通。（五）劳务交易。
有下列情形之一的，税务机关可以拒绝企业提交正式申请：（   ）|预约定价安排申请草案拟采用的定价原则和计算方法不合理，且企业拒绝协商调整；|企业拒不提供有关资料或者提供的资料不符合税务机关要求，且不按时补正或者更正；|企业拒不配合税务机关进行功能和风险实地访谈；|其他不适合谈签预约定价安排的情况。|预约定价安排申请草案拟采用的定价原则和计算方法不合理，但企业同意协商调整|1|2|3|4||公共知识P311  1.预约定价安排申请草案拟采用的定价原则和计算方法不合理，且企业拒绝协商调整；2.企业拒不提供有关资料或者提供的资料不符合税务机关要求，且不按时补正或者更正；3.企业拒不配合税务机关进行功能和风险实地访谈；4.其他不适合谈签预约定价安排的情况。|公共知识P311  1.预约定价安排申请草案拟采用的定价原则和计算方法不合理，且企业拒绝协商调整；2.企业拒不提供有关资料或者提供的资料不符合税务机关要求，且不按时补正或者更正；3.企业拒不配合税务机关进行功能和风险实地访谈；4.其他不适合谈签预约定价安排的情况。
为加强土地增值税规范化管理，税务总局决定修订土地增值税纳税申报表。修订的主要内容为（         ）|增加《土地增值税项目登记表》；                        |在《土地增值税纳税申报表（二）》和《土地增值税纳税申报表（五）》中增加“代收费用”栏次；|调整收入项目名称，在《土地增值税纳税申报表（一）》中增加“视同销售收入”数据列                   |在《土地增值税纳税申报表（二）》中取消“营业税”栏次|在《土地增值税纳税申报表（二）》、《土地增值税纳税申报表（四）》、《土地增值税纳税申报表（五）》和《土地增值税纳税申报表（六）》中调整转让收入栏次，增加“视同销售收入”指标。      |1|2|3|5||公共知识P319（一）在《土地增值税纳税申报表（二）》和《土地增值税纳税申报表（五）》中增加“代收费用”栏次。（二）调整收入项目名称，在《土地增值税纳税申报表（一）》中增加“视同销售收入”数据列，在《土地增值税纳税申报表（二）》、《土地增值税纳税申报表（四）》、《土地增值税纳税申报表（五）》和《土地增值税纳税申报表（六）》中调整转让收入栏次，增加“视同销售收入”指标。　|公共知识P319（一）在《土地增值税纳税申报表（二）》和《土地增值税纳税申报表（五）》中增加“代收费用”栏次。（二）调整收入项目名称，在《土地增值税纳税申报表（一）》中增加“视同销售收入”数据列，在《土地增值税纳税申报表（二）》、《土地增值税纳税申报表（四）》、《土地增值税纳税申报表（五）》和《土地增值税纳税申报表（六）》中调整转让收入栏次，增加“视同销售收入”指标。　
走逃（失联）企业存续经营期间发生下列（      ）情形之一的，所对应属期开具的增值税专用发票列入异常增值税扣税凭证范围。|商贸企业购进、销售货物名称严重背离的|生产企业无实际生产加工能力且无委托加工，或生产能耗与销售情况严重不符，或购进货物并不能直接生产其销售的货物且无委托加工的|直接走逃失踪不纳税申报|虽然申报但通过填列增值税纳税申报表相关栏次，规避税务机关审核比对，进行虚假申报的||1|2|3|4||公共知识P321  1.商贸企业购进、销售货物名称严重背离的；生产企业无实际生产加工能力且无委托加工，或生产能耗与销售情况严重不符，或购进货物并不能直接生产其销售的货物且无委托加工的。2.直接走逃失踪不纳税申报，或虽然申报但通过填列增值税纳税申报表相关栏次，规避税务机关审核比对，进行虚假申报的。 |公共知识P321  1.商贸企业购进、销售货物名称严重背离的；生产企业无实际生产加工能力且无委托加工，或生产能耗与销售情况严重不符，或购进货物并不能直接生产其销售的货物且无委托加工的。2.直接走逃失踪不纳税申报，或虽然申报但通过填列增值税纳税申报表相关栏次，规避税务机关审核比对，进行虚假申报的。 
全国增值税发票查验平台（https://inv－veri.chinatax.gov.cn），可以对以下新系统开具的（      ）的发票信息进行查验。|增值税专用发票|增值税普通发票|机动车销售统一发票|增值税电子普通发票||1|2|3|4||公共知识P322、323取得增值税发票的单位和个人可登陆全国增值税发票查验平台（https://inv－veri.chinatax.gov.cn），对新系统开具的增值税专用发票、增值税普通发票、机动车销售统一发票和增值税电子普通发票的发票信息进行查验。单位和个人通过网页浏览器首次登录平台时，应下载安装根证书文件，查看平台提供的发票查验操作说明。|公共知识P322、323取得增值税发票的单位和个人可登陆全国增值税发票查验平台（https://inv－veri.chinatax.gov.cn），对新系统开具的增值税专用发票、增值税普通发票、机动车销售统一发票和增值税电子普通发票的发票信息进行查验。单位和个人通过网页浏览器首次登录平台时，应下载安装根证书文件，查看平台提供的发票查验操作说明。
依据《关于生产和装配伤残人员专门用品企业免征企业所得税的通知》（财税[2016]111号），生产和装配伤残人员专门用品的企业征免企业所得税应符合的条件的有（     ）。|属于居民企业   |企业拥有假肢制作师、矫形器制作师资格证书的专业技术人员不得少于1人|以销售本企业生产或者装配的伤残人员专门用品为主，其所取得的年度伤残人员专门用品销售收入（不含出口取得的收入）占企业收入总额50%以上  |以销售本企业生产或者装配的伤残人员专门用品为主，其所取得的年度伤残人员专门用品销售收入（含出口取得的收入）占企业收入总额60％以上|具有独立的接待室、假肢或者矫形器（辅助器具）制作室和假肢功能训练室，使用面积不少于115平方米|1|2|5|||公共知识P324　一、自2016年1月1日至2020年12月31日期间，对符合下列条件的居民企业，免征企业所得税： 4、企业拥有假肢制作师、矫形器制作师资格证书的专业技术人员不得少于1人；6、具有独立的接待室、假肢或者矫形器（辅助器具）制作室和假肢功能训练室，使用面积不少于115平方米。 |公共知识P324　一、自2016年1月1日至2020年12月31日期间，对符合下列条件的居民企业，免征企业所得税： 4、企业拥有假肢制作师、矫形器制作师资格证书的专业技术人员不得少于1人；6、具有独立的接待室、假肢或者矫形器（辅助器具）制作室和假肢功能训练室，使用面积不少于115平方米。 
依据《关于保险公司准备金支出企业所得税税前扣除有关政策问题的通知》（财税[2016]114号），保险公司按国务院财政部门的相关规定提取的（     ），准予在税前扣除。|未到期责任准备金   |已发生已报案的赔偿款|已发生未报案未决赔款准备金|长期健康险责任准备金|寿险责任准备金|1|3|4|5||公共知识P325  1.未到期责任准备金、寿险责任准备金、长期健康险责任准备金依据经中国保监会核准任职资格的精算师或出具专项审计报告的中介机构确定的金额提取。 2.已发生已报案未决赔款准备金，按最高不超过当期已经提出的保险赔款或者给付金额的100%提取；|公共知识P325  1.未到期责任准备金、寿险责任准备金、长期健康险责任准备金依据经中国保监会核准任职资格的精算师或出具专项审计报告的中介机构确定的金额提取。 2.已发生已报案未决赔款准备金，按最高不超过当期已经提出的保险赔款或者给付金额的100%提取；
依据《关于企业所得税有关问题的公告》（国家税务总局公告2016年第80号），以下说法正确的有（      ）。|企业发生《国家税务总局关于企业处置资产所得税处理问题的通知》（国税函[2008]828号）第二条所述情形的，应按照被移送资产的公允价值确认销售收入   |企业职工因公出差乘坐交通工具发生的人身意外保险费支出，企业在计算应纳税所得额时不予扣除|企业发生《国家税务总局关于企业处置资产所得税处理问题的通知》（国税函[2008]828号）第二条所述情形的，应按照被移送资产的账面价值确认销售收入|企业职工因公出差乘坐交通工具发生的人身意外保险费支出，准予企业在计算应纳税所得额时扣除|企业职工因公出差期间发生的家庭财产保险费支出，准予企业在计算应纳税所得额时扣除|1|4||||公共知识P326　一、关于企业差旅费中人身意外保险费支出税前扣除问题 企业职工因公出差乘坐交通工具发生的人身意外保险费支出，准予企业在计算应纳税所得额时扣除。二、企业移送资产所得税处理问题 企业发生《国家税务总局关于企业处置资产所得税处理问题的通知》（国税函〔2008〕828号）第二条规定情形的，除另有规定外，应按照被移送资产的公允价值确定销售收入。|公共知识P326　一、关于企业差旅费中人身意外保险费支出税前扣除问题 企业职工因公出差乘坐交通工具发生的人身意外保险费支出，准予企业在计算应纳税所得额时扣除。二、企业移送资产所得税处理问题 企业发生《国家税务总局关于企业处置资产所得税处理问题的通知》（国税函〔2008〕828号）第二条规定情形的，除另有规定外，应按照被移送资产的公允价值确定销售收入。
依据《关于房地产开发企业土地增值税清算涉及企业所得税退税有关问题的公告》（国家税务总局公告2016年第81号），以下说法正确的有（     ）。|企业按规定对开发项目进行土地增值税清算后，如当年企业所得税汇算清缴出现亏损，则该亏损应按照税法规定向以后年度结转，用以后年度所得弥补      |企业按规定对开发项目进行土地增值税清算后，当年企业所得税汇算清缴出现亏损，且没有后续开发项目的，可以按照一定方法，计算出该项目由于土地增值税原因导致的项目开发各年度多缴企业所得税税款，并申请退税     |房地产开发企业在申请退税时，应向主管税务机关提供书面材料说明应退企业所得税款的计算过程 |《公告》发布执行前已经进行土地增值税清算，不适用本《公告》 | 按项目销售收入占比计算分摊土地增值税，所称销售收入包括视同销售房地产的收入，不扣减企业销售的增值额未超过扣除项目金额20％的普通标准住宅的销售收入|2|3||||公共知识P327  二、企业按规定对开发项目进行土地增值税清算后，当年企业所得税汇算清缴出现亏损，且没有后续开发项目的，可以按照以下方法，计算出该项目由于土地增值税原因导致的项目开发各年度多缴企业所得税税款，并申请退税：三、企业在申请退税时，应向主管税务机关提供书面材料说明应退企业所得税款的计算过程，包括该项目缴纳的土地增值税总额、项目销售收入总额、项目年度销售收入额、各年度应分摊的土地增值税和已经税前扣除的土地增值税、各年度的适用税率，以及是否存在后续开发项目等情况|公共知识P327  二、企业按规定对开发项目进行土地增值税清算后，当年企业所得税汇算清缴出现亏损，且没有后续开发项目的，可以按照以下方法，计算出该项目由于土地增值税原因导致的项目开发各年度多缴企业所得税税款，并申请退税：三、企业在申请退税时，应向主管税务机关提供书面材料说明应退企业所得税款的计算过程，包括该项目缴纳的土地增值税总额、项目销售收入总额、项目年度销售收入额、各年度应分摊的土地增值税和已经税前扣除的土地增值税、各年度的适用税率，以及是否存在后续开发项目等情况
《印花税管理规程（试行）》适用于印花税（      ）等事项，其他管理事项按照有关规定执行。|税源管理、奖励        |税款征收|减免税和退税管理      |风险管理|证券交易印花税征收管理|2|3|4|||公共知识P329、330　第二章 税源管理 第三章 税款征收 第四章 减免税和退税管理 第五章 风险管理|公共知识P329、330　第二章 税源管理 第三章 税款征收 第四章 减免税和退税管理 第五章 风险管理
按照《国家税务总局关于发布〈委托代征管理办法〉的公告》（国家税务总局公告2013年第24号有关规定，可委托银行、保险、工商、房地产管理等有关部门，代征（         ）等的印花税。|借款合同|人寿保险合同|权利许可证照|产权转移书据|建设工程承包合同|1|3|4|5||公共知识P330第十八条 税务机关根据印花税征收管理的需要，本着既加强源泉控管，又方便纳税人的原则，，可委托银行、保险、工商、房地产管理等有关部门，代征借款合同、财产保险合同、权利许可证照、产权转移书据、建设工程承包合同等的印花税。|公共知识P330第十八条 税务机关根据印花税征收管理的需要，本着既加强源泉控管，又方便纳税人的原则，，可委托银行、保险、工商、房地产管理等有关部门，代征借款合同、财产保险合同、权利许可证照、产权转移书据、建设工程承包合同等的印花税。
印花税实行减免税备案管理，减免税备案资料应当包括：（         ）|纳税人减免税备案登记表|《登记簿》复印件|减免税依据的相关法律、法规规定的其他资料|《登记簿》原件|印花税申报表|1|2|3|||公共知识P330（一）纳税人减免税备案登记表；（二）《登记簿》复印件；（三）减免税依据的相关法律、法规规定的其他资料。|公共知识P330（一）纳税人减免税备案登记表；（二）《登记簿》复印件；（三）减免税依据的相关法律、法规规定的其他资料。
依据《关于转发《国家税务总局关于进一步做好企业研究开发费用税前加计扣除政策贯彻落实工作的通知》的通知》（沪国税函[2017]5号），以下说法正确的有（    ）。|各征管分局在落实加计扣除优惠政策时，应以核实企业享受2016年度优惠的有关情况为基准，原则上不核实以前年度有关情况|对纳税人反映的相关问题和投诉，各征管分局一般应当在接到问题和投诉后的10个工作日内予以解决|如企业2016年度未及时申报享受加计扣除优惠政策，可在以后5年内追溯享受|如企业申报享受加计扣除优惠政策，但账证不健全、资料不齐全或适用优惠政策不准确的，各征管分局要积极做好辅导解释工作，帮助企业建账建制，补充资料，确保企业享受加计扣除优惠政策|企业申报享受加计扣除优惠政策，但账证不健全，一律不得享受加计扣除政策|1|2|4|||公共知识P335：如企业2016年度未及时申报享受加计扣除优惠政策，可在以后3年内追溯享受。P335：如企业申报享受加计扣除优惠政策，但账证不健全、资料不齐全或适用优惠政策不准确的，各征管分局要积极做好辅导解释工作的同时，指导企业按政策要求建账建制、准备并妥善保管留存备查资料，并积极运用已与科技部门建立的沟通协调机制，确保符合条件的企业享受加计扣除优惠政策。|公共知识P335：如企业2016年度未及时申报享受加计扣除优惠政策，可在以后3年内追溯享受。P335：如企业申报享受加计扣除优惠政策，但账证不健全、资料不齐全或适用优惠政策不准确的，各征管分局要积极做好辅导解释工作的同时，指导企业按政策要求建账建制、准备并妥善保管留存备查资料，并积极运用已与科技部门建立的沟通协调机制，确保符合条件的企业享受加计扣除优惠政策。
依据《关于印发《技术入股递延纳税有关企业所得税受理事项管理规程（试行）》的通知》（沪国税函[2017]4号），纳税人需留存备查的资料包括（    ）。|技术成果相关证书或证明材料|技术成果投资入股协议|《技术成果投资入股企业所得税递延纳税备案表》|技术成果计税基础相关资料|技术成果评估报告|1|2|4|5||公共知识P335：八、其他事项：纳税人需将下列资料留存备查　　1．技术成果相关证书或证明材料　　2．技术成果投资入股协议　　3．技术成果评估报告　　4．技术成果计税基础相关资料　　5．与被投资方是否为关联方关系的股权关系说明|公共知识P335：八、其他事项：纳税人需将下列资料留存备查　　1．技术成果相关证书或证明材料　　2．技术成果投资入股协议　　3．技术成果评估报告　　4．技术成果计税基础相关资料　　5．与被投资方是否为关联方关系的股权关系说明
依据《上海市国家税务局上海市地方税务局关于做好2016年度本市居民企业所得税汇算清缴工作的通知》（沪国税函[2017]15号），下列说法正确的有（    ）。|纳税人因不可抗力，无法在申报期内办理年度纳税申报或备齐年度纳税申报资料的，可按照征管法的规定，办理延期纳税申报|对于符合查账征收条件的纳税人，应在当年企业所得税汇算清缴之前及时调整征收方式，实行查账征收|税务机关应加强对享受研发费用加计扣除优惠企业的后续管理和监督检查。每年汇算清缴结束后应开展核查，检查面不得低于享受该优惠企业户数的10%   |分局要积极利用信息手段及时监控纳税人汇算清缴申报情况，发现申报错误和疑点的，应及时告知纳税人进行更正申报|纳税人自行判断符合税收优惠政策规定条件的，在企业所得税年度纳税申报之前到主管税务机关履行备案手续|1|2|4|5||公共知识P340:税务机关应加强对享受研发费用加计扣除优惠企业的后续管理和监督检查。每年汇算清缴结束后应开展核查，检查面不得低于享受该优惠企业户数的20%。|公共知识P340:税务机关应加强对享受研发费用加计扣除优惠企业的后续管理和监督检查。每年汇算清缴结束后应开展核查，检查面不得低于享受该优惠企业户数的20%。
依据依据《关于本市残疾、孤老人员和烈属继续实行劳动所得定额减征个人所得税政策的通知》（沪财发[2017]1号），下列所得中属于残疾、孤老人员和烈属可享受定额减征个人所得税的有（   ）。|特许权使用费所得|稿酬所得|财产转让所得|工资薪金所得|利息所得|1|2|4|||公共知识P340:残疾、孤老人员和烈属可享受定额减征个人所得税的劳动所得是指：工资薪金所得、个体工商户的生产和经营所得、对企事业单位的承包和承租经营所得、劳务报酬所得、稿酬所得、特许权使用费所得。|公共知识P340:残疾、孤老人员和烈属可享受定额减征个人所得税的劳动所得是指：工资薪金所得、个体工商户的生产和经营所得、对企事业单位的承包和承租经营所得、劳务报酬所得、稿酬所得、特许权使用费所得。
